18,000	2,050	0,000	13,900	14,100	20,500	21,300	13,500	13,900	0,000	20,000	68,828	100,000
19,000	2,060	0,000	13,900	14,100	20,500	21,300	13,600	13,900	0,000	20,000	68,964	100,000
20,000	2,040	0,000	13,900	14,100	20,500	21,300	13,600	13,900	0,000	20,000	69,052	100,000
21,000	2,010	0,000	14,000	14,100	20,500	21,300	13,600	13,900	0,000	20,000	69,060	100,000
22,000	1,980	0,000	14,000	14,100	20,500	21,300	13,600	13,900	0,000	20,000	69,000	100,000
23,000	1,990	0,000	14,000	14,100	20,500	21,300	13,600	13,900	0,000	20,000	68,968	100,000
24,000	2,010	0,000	14,000	14,100	20,500	21,300	13,600	13,900	0,000	20,000	68,984	100,000
25,000	2,010	0,000	14,000	14,100	20,500	21,300	13,600	13,900	0,000	20,000	68,992	100,000
26,000	2,000	0,000	14,000	14,100	20,500	21,300	13,600	13,900	0,000	20,000	68,996	100,000
27,000	1,990	0,000	14,000	14,100	20,500	21,300	13,600	13,900	0,000	20,000	68,992	100,000
28,000	2,000	0,000	14,000	14,100	20,500	21,300	13,600	13,900	0,000	20,000	68,984	100,000
29,000	1,990	0,000	14,000	14,100	20,500	21,300	13,600	13,900	0,000	20,000	68,948	100,000
30,000	1,990	0,000	14,000	14,100	20,500	21,300	13,600	13,900	0,000	20,000	68,928	100,000
31,000	1,990	0,000	14,000	14,100	20,500	21,300	13,600	13,900	20,000	20,000	68,932	100,000
32,000	1,990	0,000	14,000	14,100	20,500	21,300	13,600	13,900	20,000	20,000	68,892	100,000
33,000	1,990	0,000	13,900	14,100	20,500	21,300	13,600	13,900	20,000	20,000	68,872	100,000
34,000	2,000	0,000	13,900	14,100	20,500	21,300	13,600	13,900	20,000	20,000	68,876	100,000
35,000	2,000	0,000	14,000	14,100	20,500	21,300	13,600	13,800	20,000	20,000	68,848	100,000
36,000	1,990	0,000	14,000	14,100	20,500	21,300	13,600	13,800	20,000	20,000	68,836	100,000
37,000	1,990	0,000	13,900	14,100	20,500	21,300	13,600	13,800	20,000	20,000	68,816	100,000
38,000	1,990	0,000	13,900	14,000	20,500	21,300	13,600	13,900	20,000	20,000	68,796	100,000
39,000	1,990	0,000	13,900	14,000	20,500	21,300	13,600	13,900	20,000	20,000	68,776	100,000
40,000	1,990	0,000	13,900	14,000	20,500	21,300	13,600	13,900	20,000	20,000	68,752	100,000
41,000	1,990	0,000	13,900	14,000	20,500	21,300	13,600	13,900	20,000	20,000	68,728	100,000
42,000	1,990	0,000	13,900	14,000	20,500	21,300	13,600	13,900	20,000	20,000	68,744	100,000
43,000	2,000	0,000	13,900	14,000	20,500	21,300	13,600	13,900	20,000	20,000	68,736	100,000
44,000	1,990	0,000	13,900	14,000	20,500	21,300	13,600	13,900	20,000	20,000	68,696	100,000
45,000	1,990	0,000	13,900	14,000	20,500	21,300	13,600	14,000	20,000	20,000	68,676	100,000
46,000	1,980	0,000	13,900	14,000	20,500	21,300	13,600	14,100	20,000	20,000	68,656	100,000
47,000	1,990	0,000	13,900	14,000	20,500	21,300	13,600	14,100	20,000	20,000	68,624	100,000
48,000	1,990	0,000	13,900	14,000	20,500	21,300	13,600	14,100	20,000	20,000	68,600	100,000
49,000	1,990	0,000	13,900	14,000	20,500	21,300	13,600	14,100	20,000	20,000	68,580	100,000
50,000	1,990	0,000	14,000	14,000	20,500	21,300	13,600	14,200	20,000	20,000	68,528	100,000
51,000	1,980	0,000	14,000	14,000	20,500	21,300	13,600	14,400	20,000	20,000	68,492	100,000
52,000	1,980	0,000	14,000	14,000	20,500	21,300	13,600	14,500	20,000	20,000	68,488	100,000
53,000	1,990	0,000	14,000	14,000	20,500	21,300	13,600	14,700	20,000	20,000	68,456	100,000
54,000	1,990	0,000	14,100	14,000	20,500	21,300	13,600	14,800	20,000	20,000	68,432	100,000
55,000	1,980	0,000	14,100	14,000	20,500	21,300	13,600	15,000	20,000	20,000	68,388	100,000
56,000	1,980	0,000	14,200	14,000	20,500	21,300	13,600	15,200	20,000	20,000	68,348	100,000
57,000	1,980	0,000	14,400	14,000	20,500	21,300	13,600	15,500	20,000	20,000	68,304	100,000
58,000	1,980	0,000	14,500	14,000	20,500	21,300	13,600	15,700	20,000	20,000	68,264	100,000
59,000	1,990	0,000	14,600	14,000	20,500	21,300	13,600	15,800	20,000	20,000	68,248	100,000
60,000	2,000	0,000	14,600	14,000	20,500	21,300	13,600	16,100	20,000	20,000	68,256	100,000
61,000	2,010	0,000	14,800	14,000	20,500	21,300	13,700	16,300	20,000	20,000	68,292	100,000
62,000	2,010	0,000	15,000	14,000	20,500	21,300	13,700	16,500	20,000	20,000	68,284	100,000
63,000	2,010	0,000	15,200	14,100	20,500	21,300	13,700	16,600	20,000	20,000	68,312	100,000
64,000	2,000	0,000	15,300	14,100	20,500	21,200	13,600	16,600	20,000	20,000	68,324	100,000
65,000	2,010	0,000	15,300	14,100	20,500	21,200	13,600	16,900	20,000	20,000	68,340	100,000
66,000	2,010	0,000	15,600	14,100	20,500	21,200	13,600	17,000	20,000	20,000	68,360	100,000
67,000	2,010	0,000	16,000	14,100	20,500	21,200	13,600	17,100	20,000	20,000	68,380	100,000
68,000	2,010	0,000	16,300	14,200	20,500	21,200	13,600	17,200	20,000	20,000	68,400	100,000
69,000	2,010	0,000	16,500	14,200	20,500	21,200	13,600	17,200	20,000	20,000	68,420	100,000
70,000	2,010	0,000	16,800	14,300	20,500	21,200	13,600	17,300	20,000	20,000	68,436	100,000
